Title,Year,Worldwide_Box_Office,WBO_Adjusted_for_Inflation
Star Wars: Episode IV - A New Hope,1977,307263857.0,5928475688.44
Smokey and the Bandit,1977,126747995.0,2445528134.2
Close Encounters of the Third Kind,1977,116395460.0,2245782050.62
Saturday Night Fever,1977,94213184.0,1817788061.14
A Bridge Too Far,1977,50750000.0,979191448.44
The Deep,1977,47346365.0,913520309.81
The Spy Who Loved Me,1977,46839295.0,903736691.92
"Oh, God!",1977,41687243.0,804330873.98
Annie Hall,1977,38252415.0,738057884.73
Semi-Tough,1977,37187139.0,717504009.87
Pete's Dragon,1977,35488000.0,684720120.63
Heroes,1977,33500000.0,646362828.03
High Anxiety,1977,31063038.0,599343077.28
Exorcist II: The Heretic,1977,30749142.0,593286638.29
The Rescuers,1977,29000000.0,559537970.54
Slap Shot,1977,28000000.0,540243557.76
Herbie Goes to Monte Carlo,1977,28000000.0,540243557.76
The Gauntlet,1977,26414658.0,509655314.82
The Turning Point,1977,25933445.0,500370592.56
Freaky Friday,1977,25642000.0,494747332.43
The Other Side of Midnight,1977,24652021.0,475646268.96
Looking for Mr. Goodbar,1977,22512655.0,434368458.28
Julia,1977,20714400.0,399672184.03
The Bad News Bears in Breaking Training,1977,19104350.0,368607214.74
For the Love of Benji,1977,17732000.0,342128527.36
"New York, New York",1977,16400658.0,316441065.27
Black Sunday,1977,15769322.0,304259807.88
Orca,1977,14717854.0,283972350.27
Bobby Deerfield,1977,9300000.0,179438038.83
Islands in the Stream,1977,5596173.0,107974871.83
"Race for Your Life, Charlie Brown",1977,3223888.0,62203025.82
March or Die,1977,1000000.0,19294412.78
Joseph Andrews,1977,839865.0,16204701.99
Citizens Band,1977,815530.0,15735172.45
Fraternity Row,1977,290674.0,5608384.14
Sorcerer,1977,651.0,12560.66
1900,1977,360.0,6945.99
Grease,1978,159983156.0,4709859073.89
Superman,1978,134218018.0,3951340664.62
National Lampoon's Animal House,1978,120098342.0,3535661378.18
Every Which Way But Loose,1978,85196485.0,2508160533.73
Heaven Can Wait,1978,81640278.0,2403466800.8
Hooper,1978,78000000.0,2296298041.3
Jaws 2,1978,77737272.0,2288563402.94
Revenge of the Pink Panther,1978,49579269.0,1459599721.71
The Deer Hunter,1978,48994473.0,1442383492.11
Halloween,1978,47000000.0,1383666768.47
Foul Play,1978,44999621.0,1324776173.87
The End,1978,44917151.0,1322348280.28
Up in Smoke,1978,44364244.0,1306070853.86
Midnight Express,1978,35000000.0,1030390146.74
Coming Home,1978,32653905.0,961321770.41
The Lord of the Rings,1978,30474857.0,897171210.74
House Calls,1978,28460702.0,837875054.57
Damien: Omen II,1978,26518355.0,780692905.7
Invasion of the Body Snatchers,1978,24946800.0,734426768.93
Convoy,1978,22765081.0,670197575.77
The Wiz,1978,21049053.0,619678194.55
F.I.S.T.,1978,20388920.0,600244064.87
Sgt. Pepper's Lonely Hearts Club Band,1978,20378470.0,599936419.82
Eyes of Laura Mars,1978,20000000.0,588794369.56
The One and Only,1978,16928137.0,498359587.64
Return from Witch Mountain,1978,16393000.0,482605305.01
Corvette Summer,1978,15514367.0,456738596.85
The Greek Tycoon,1978,14672713.0,431960540.03
Death on the Nile,1978,14560084.0,428644773.98
The Buddy Holly Story,1978,14363400.0,422854452.39
The Big Fix,1978,13062708.0,384562446.08
The Other Side of the Mountain: Part II,1978,11565678.0,340490304.33
Moment by Moment,1978,10963824.0,322771892.0
Interiors,1978,10432366.0,307125918.1
Straight Time,1978,9900000.0,291453212.93
Comes a Horseman,1978,9585769.0,282202340.76
American Hot Wax,1978,7932571.0,233532657.05
The Brink's Job,1978,7909950.0,232866701.18
Goin' South,1978,7435671.0,218904060.94
King of the Gypsies,1978,7325177.0,215651148.68
Force 10 from Navarone,1978,7230000.0,212849164.6
Paradise Alley,1978,7185518.0,211539627.04
The Bad News Bears Go to Japan,1978,7092495.0,208801056.11
International Velvet,1978,7009238.0,206349993.47
Blue Collar,1978,6521083.0,191978847.69
Pretty Baby,1978,5786368.0,170349044.93
Gray Lady Down,1978,5438927.0,160120479.7
Brass Target,1978,5011158.0,147527080.77
Caravans,1978,3930501.0,115712842.92
Days of Heaven,1978,3446749.0,101471320.22
Our Winning Season,1978,1997705.0,58811872.8
I Wanna Hold Your Hand,1978,1944682.0,57250890.61
Skateboard,1978,1318823.0,38825777.84
Uncle Joe Shannon,1978,494797.0,14566684.38
Nunzio,1978,52195.0,1536606.11
The Last Waltz,1978,7940.0,233751.36
Kramer vs. Kramer,1979,106260000.0,12878660536.59
The Amityville Horror,1979,86432000.0,10475516539.61
Rocky II,1979,85182160.0,10324036536.93
Star Trek: The Motion Picture,1979,82258612.0,9969703935.25
Apocalypse Now,1979,78962050.0,9570162217.43
Alien,1979,78955598.0,9569380238.15
10,1979,74865517.0,9073664401.84
The Jerk,1979,73691419.0,8931364292.88
Moonraker,1979,70308213.0,8521321364.22
The Muppet Movie,1979,65200382.0,7902254720.82
The Electric Horseman,1979,61801971.0,7490368953.52
The China Syndrome,1979,51718367.0,6268241032.37
Meatballs,1979,43046003.0,5217154715.74
Escape from Alcatraz,1979,43000000.0,5211579174.42
The Main Event,1979,42800000.0,5187339271.28
Manhattan,1979,39946780.0,4841530389.14
All That Jazz,1979,37823777.0,4584223453.74
The Black Stallion,1979,37799643.0,4581298424.63
The Black Hole,1979,35841901.0,4344021042.4
Starting Over,1979,35649012.0,4320642989.02
And Justice for All,1979,33300000.0,4035943872.28
1941,1979,31755742.0,3848780550.59
The Champ,1979,30441738.0,3689523902.18
Being There,1979,30177663.0,3657518140.08
The Rose,1979,29174648.0,3535953207.85
Going in Style,1979,26869286.0,3256544449.98
North Dallas Forty,1979,26079312.0,3160799983.78
The Warriors,1979,22494655.0,2726341291.48
Norma Rae,1979,22228000.0,2694022834.63
Buck Rogers in the 25th Century,1979,21671241.0,2626543913.47
National Lampoon's Animal House 1979 Re-release,1979,21508877.0,2606865475.31
The Apple Dumpling Gang Rides Again,1979,20931111.0,2536840515.93
La Cage aux Folles,1979,20424259.0,2475410299.01
Dracula,1979,20158970.0,2443257400.69
When a Stranger Calls,1979,20149106.0,2442061888.67
"Same Time, Next Year",1979,19703082.0,2388003995.88
The Seduction of Joe Tynan,1979,19595168.0,2374924871.35
Life of Brian,1979,19426110.0,2354435123.63
One Hundred and One Dalmatians 1979 Re-release,1979,19000000.0,2302790798.0
Prophecy,1979,18389402.0,2228786616.12
Breaking Away,1979,16424918.0,1990692106.75
Hair,1979,15284643.0,1852491329.0
More American Graffiti,1979,15014674.0,1819771216.95
Roller Boogie,1979,13253715.0,1606343839.02
The Great Train Robbery,1979,13027857.0,1578969958.8
The Concorde... Airport '79,1979,13015688.0,1577495081.9
Phantasm,1979,11988469.0,1452996636.59
The Promise,1979,11606005.0,1406642185.03
The Legacy,1979,11364985.0,1377430677.76
Fiddler on the Roof 1979 Re-release,1979,10404330.0,1260999757.02
The Onion Field,1979,9890597.0,1198735566.23
The Frisco Kid,1979,9346177.0,1132752125.9
Meteor,1979,8400000.0,1018075931.75
The Fish That Saved Pittsburgh,1979,8281246.0,1003683004.46
Bloodline,1979,8218695.0,996101853.56
The Prisoner of Zenda,1979,7650600.0,927249014.69
Agatha,1979,7500000.0,908996367.63
Americathon,1979,6171763.0,748014686.52
Running,1979,6012556.0,728718875.22
Cuba,1979,5610280.0,679963218.85
Butch and Sundance: The Early Days,1979,5136913.0,622591367.71
Players,1979,4896094.0,593404221.54
The Great Santini,1979,4702575.0,569949812.47
Yanks,1979,3931010.0,476436508.15
Lost and Found,1979,3223197.0,390649915.35
Hanover Street,1979,3000000.0,363598547.05
Voices,1979,2631244.0,318905498.45
Wanda Nevada,1979,2411145.0,292229606.24
Sunburn,1979,2410776.0,292184883.62
Rich Kids,1979,1856122.0,224961087.45
Walk Proud,1979,1675040.0,203014036.75
Last Embrace,1979,1537125.0,186298805.55
Goldengirl,1979,1247376.0,151181367.08
The Passage,1979,1101186.0,133463209.88
Winter Kills,1979,1084202.0,131404757.3
City on Fire,1979,784181.0,95042357.41
"A Man, a Woman and a Bank",1979,683353.0,82822052.64
Five Days from Home,1979,641768.0,77781970.78
Fast Charlie... the Moonbeam Rider,1979,444334.0,53853065.6
The Human Factor,1979,376050.0,45577077.87
Real Life,1979,364642.0,44194433.8
An Almost Perfect Affair,1979,85493.0,10361710.19
Nest of Vipers,1979,27182.0,3294445.24
The Milky Way,1979,2893.0,350630.2
Star Wars: Episode V - The Empire Strikes Back,1980,209398025.0,56131503829.23
9 to 5,1980,103290500.0,27688184242.77
Stir Crazy,1980,101300000.0,27154608253.35
Airplane!,1980,83453926.0,22370766710.11
Any Which Way You Can,1980,70687344.0,18948540323.69
Private Benjamin,1980,69847348.0,18723369915.85
Coal Miner's Daughter,1980,67182787.0,18009104268.05
Smokey and the Bandit II,1980,66132626.0,17727596760.07
The Blue Lagoon,1980,58853106.0,15776239268.74
The Blues Brothers,1980,57233889.0,15342189877.7
Ordinary People,1980,54766923.0,14680891799.67
Popeye,1980,49823037.0,13355627361.57
Urban Cowboy,1980,46918287.0,12576976341.59
The Shining,1980,44067757.0,11812859604.53
Seems Like Old Times,1980,43995918.0,11793602349.82
Cheech and Chong's Next Movie,1980,41675194.0,11171506090.35
Caddyshack,1980,39846344.0,10681262207.78
Friday the 13th,1980,39757840.0,10657537711.74
Brubaker,1980,37121708.0,9950892778.24
Little Darlings,1980,34326249.0,9201538444.25
Dressed to Kill,1980,31899000.0,8550886956.31
The Jazz Singer,1980,27118000.0,7269285948.81
Flash Gordon,1980,27107960.0,7266594613.5
Lady and the Tramp 1980 Re-release,1980,26114207.0,7000207906.53
The Elephant Man,1980,26011470.0,6972668094.21
Bronco Billy,1980,24265659.0,6504683752.76
Raging Bull,1980,23335868.0,6255442781.76
Xanadu,1980,22762571.0,6101764050.78
American Gigolo,1980,22743674.0,6096698496.66
My Bodyguard,1980,22482952.0,6026809022.1
The Fog,1980,21378361.0,5730710938.34
Fame,1980,21202829.0,5683657604.72
Tess,1980,20093330.0,5386243876.16
Altered States,1980,19853898.0,5322061426.38
Song of the South,1980,19800000.0,5307613459.19
Cruising,1980,19785014.0,5303596292.77
The Octagon,1980,18971000.0,5085390653.25
The Aristocats,1980,18000000.0,4825103144.72
Honeysuckle Rose,1980,17815212.0,4775568635.84
Herbie Goes Bananas,1980,17000000.0,4557041858.9
Rough Cut,1980,16656125.0,4464862284.24
The Final Countdown,1980,16647800.0,4462630674.04
The Hunter,1980,16274150.0,4362469574.59
Hero at Large,1980,15934737.0,4271486089.39
The Long Riders,1980,15795189.0,4234078673.08
The Island,1980,15716828.0,4213073122.66
Close Encounters of the Third Kind 1980 Special Edition,1980,15693175.0,4206732669.07
First Family,1980,15198912.0,4074239893.75
Prom Night,1980,14796236.0,3966298047.43
The Nude Bomb,1980,14662035.0,3930323954.81
"Oh, God! Book II",1980,14504277.0,3888035142.48
The Competition,1980,14287755.0,3829993976.75
Wholly Moses!,1980,14155617.0,3794572894.57
Mary Poppins 1980 Re-release,1980,14000000.0,3752858001.45
The Last Married Couple in America,1980,12835544.0,3440712428.81
Used Cars,1980,11715321.0,3140424011.03
The Last Flight of Noah's Ark,1980,11000000.0,2948674144.0
The Mirror Crack'd,1980,11000000.0,2948674144.0
The Fiendish Plot of Dr. Fu Manchu,1980,10697276.0,2867525559.31
Stardust Memories,1980,10389003.0,2784889502.55
The Hollywood Knights,1980,10000000.0,2680612858.18
Serial,1980,9870727.0,2645959771.58
Somewhere in Time,1980,9709597.0,2602767056.59
Saturn 3,1980,9000000.0,2412551572.36
Tribute,1980,9000000.0,2412551572.36
The Formula,1980,8894289.0,2384214545.78
Mad Max,1980,8750000.0,2345536250.91
Battle Creek Brawl,1980,8527743.0,2285957753.7
The Awakening,1980,8415112.0,2255765743.02
Fatso,1980,7653061.0,2051489372.1
How to Become a Detective,1980,7500000.0,2010459643.63
How to Beat the High Cost of Living,1980,7500000.0,2010459643.63
Foxes,1980,7470348.0,2002511090.39
The Big Red One,1980,7206220.0,1931708599.09
The Stunt Man,1980,7063886.0,1893554364.03
Where the Buffalo Roam,1980,6659377.0,1785121161.37
The Gong Show Movie,1980,6621520.0,1774973165.27
Motel Hell,1980,6342668.0,1700223739.6
Little Miss Marker,1980,6321392.0,1694520467.68
Oh Heavenly Dog,1980,6216067.0,1666286912.75
Divine Madness,1980,5318098.0,1425576187.99
In God We Trust (or Gimme That Prime Time Religion),1980,5215015.0,1397943626.46
He Knows You're Alone,1980,4875436.0,1306915643.08
Coast to Coast,1980,4495445.0,1205054767.02
Melvin and Howard,1980,4309490.0,1155207430.62
Roadie,1980,4226370.0,1132926176.54
Gloria,1980,4059673.0,1088241164.38
Jaws 2 1980 Re-release,1980,4028735.0,1079947884.32
Kagemusha: The Shadow Warrior,1980,4001070.0,1072531968.85
Resurrection,1980,3910019.0,1048124720.71
Hide in Plain Sight,1980,3806930.0,1020490550.82
Guyana: Cult of the Damned,1980,3798102.0,1018124105.79
When Time Ran Out...,1980,3763988.0,1008979463.08
Heaven's Gate,1980,3484331.0,934014248.08
North Sea Hijack,1980,2993772.0,802514371.77
Midnight Madness,1980,2900000.0,777377728.87
Loving Couples,1980,2806659.0,752356620.39
The Idolmaker,1980,2625716.0,703852807.15
The Black Marble,1980,2500000.0,670153214.54
Gilda Live,1980,2261507.0,606222474.31
Windows,1980,2128395.0,570540300.43
Just Tell Me What You Want,1980,2086905.0,559418437.68
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,2013193.0,539659104.18
Carny,1980,1817720.0,487260360.46
When a Stranger Calls 1980 Re-release,1980,1262052.0,338307281.89
Why Would I Lie?,1980,1175855.0,315201203.24
Nijinsky,1980,1047454.0,280781866.08
Heart Beat,1980,954046.0,255742797.49
One-Trick Pony,1980,843215.0,226033297.12
"Those Lips, Those Eyes",1980,804713.0,215712401.49
A Small Circle of Friends,1980,766760.0,205538671.51
Leo and Loree,1980,517988.0,138852529.32
Home Movies,1980,89134.0,23893374.65
Phobia,1980,59167.0,15860382.1
Stalker 2019 Re-release,1980,17055.0,4571785.23
Breaking Glass,1980,2471.0,662379.44
Breaker Morant,1980,948.0,254122.1
Superman II,1981,216385706.0,14827029459.58
Raiders of the Lost Ark,1981,212222025.0,14541728632.7
On Golden Pond,1981,119285432.0,8173592641.85
Arthur,1981,95461682.0,6541158366.88
Stripes,1981,85297000.0,5844661161.74
The Cannonball Run,1981,72179579.0,4945838447.45
Chariots of Fire,1981,58972904.0,4040899933.22
For Your Eyes Only,1981,54812948.0,3755854348.17
The Four Seasons,1981,50427646.0,3455367762.69
Time Bandits,1981,42365581.0,2902944603.74
Clash of the Titans,1981,41092328.0,2815699655.4
Absence of Malice,1981,40716963.0,2789979158.35
Reds,1981,40382788.0,2767081053.57
The Fox and the Hound,1981,39900000.0,2733999793.12
Tarzan the Ape Man,1981,36565280.0,2505500450.01
Taps,1981,35856053.0,2456903295.34
Sharky's Machine,1981,35610100.0,2440050276.51
Excalibur,1981,34967437.0,2396014173.53
Endless Love,1981,32492674.0,2226440200.35
History of the World: Part I,1981,31672907.0,2170268701.39
Bustin' Loose,1981,31261269.0,2142062731.29
The Great Muppet Caper,1981,31206251.0,2138292826.51
An American Werewolf in London,1981,30683872.0,2102498739.35
Neighbors,1981,29916207.0,2049897337.06
Fort Apache the Bronx,1981,29200000.0,2000821903.73
Cinderella 1981 Re-release,1981,28040000.0,1921337197.97
The French Lieutenant's Woman,1981,26890068.0,1842542364.63
Private Lessons,1981,26279000.0,1800671192.06
Modern Problems,1981,26154211.0,1792120487.8
Halloween II,1981,25533818.0,1749610354.12
Only When I Laugh,1981,25524778.0,1748990921.59
Escape from New York,1981,25244626.0,1729794542.89
Body Heat,1981,24058838.0,1648542809.89
Ghost Story,1981,23371905.0,1601473269.04
Friday the 13th Part 2,1981,21722776.0,1488472809.27
The Final Conflict,1981,20471382.0,1402725667.99
The Incredible Shrinking Woman,1981,20259961.0,1388238826.63
Mommie Dearest,1981,19032603.0,1304138663.27
Paternity,1981,18838812.0,1290859852.39
Under the Rainbow,1981,18826490.0,1290015532.96
The Howling,1981,17985893.0,1232416735.36
Eye of the Needle,1981,17583634.0,1204853426.52
Take This Job and Shove It,1981,17569027.0,1203852535.92
Outland,1981,17374595.0,1190529802.89
The Devil and Max Devlin,1981,16000000.0,1096340769.17
Caveman,1981,15965924.0,1094005837.42
Continental Divide,1981,15578237.0,1067441020.93
The Night the Lights Went Out in Georgia,1981,14923752.0,1022594859.16
Ragtime,1981,14920781.0,1022391282.38
Nighthawks,1981,14905359.0,1021334546.93
S.O.B.,1981,14867086.0,1018712031.28
Rich and Famous,1981,14492125.0,993019216.84
Scanners,1981,14225876.0,974775489.75
Dragonslayer,1981,14110013.0,966836406.59
True Confessions,1981,12850276.0,880517592.12
Atlantic City,1981,12729675.0,872253855.05
The Legend of the Lone Ranger,1981,12617845.0,864591118.28
First Monday in October,1981,12480249.0,855162861.76
The Postman Always Rings Twice,1981,12383416.0,848527738.9
Blow Out,1981,12000000.0,822255576.88
Back Roads,1981,11809387.0,809194526.69
Thief,1981,11492915.0,787509454.44
Victory,1981,10853418.0,743690289.89
Rollover,1981,10851261.0,743542489.45
Wolfen,1981,10626725.0,728156991.27
Carbon Copy,1981,9566593.0,655515370.5
Pennies from Heaven,1981,9171289.0,628428627.28
Deadly Blessing,1981,8279042.0,567290704.64
Whose Life Is It Anyway?,1981,8206145.0,562295707.58
Prince of the City,1981,8124257.0,556684635.52
The Funhouse,1981,7886857.0,540417679.36
Buddy Buddy,1981,7258543.0,497364788.48
La Cage aux Folles II,1981,6950125.0,476231586.77
...All the Marbles,1981,6468195.0,443209117.59
Eyewitness,1981,6400000.0,438536307.67
Gallipoli,1981,5732587.0,392804302.56
My Bloody Valentine,1981,5672031.0,388654926.83
Going Ape!,1981,5504218.0,377156162.24
The Dogs of War,1981,5484132.0,375779843.44
Student Bodies,1981,5165432.0,353942105.75
The Watcher in the Woods,1981,5000000.0,342606490.37
All Night Long,1981,4454295.0,305214075.4
The Pursuit of D.B. Cooper,1981,3702028.0,253667764.06
Zoot Suit,1981,3256082.0,223110965.27
The Fan,1981,3082096.0,211189218.71
The Last Metro,1981,3007436.0,206073418.59
Gas,1981,2869425.0,196616725.72
Modern Romance,1981,2863642.0,196220467.06
The Hand,1981,2447576.0,167711084.65
Heartbeeps,1981,2154696.0,147642566.87
This Is Elvis,1981,2028612.0,139003127.53
Sphinx,1981,2022771.0,138602894.62
Honky Tonk Freeway,1981,2004742.0,137367524.14
Raggedy Man,1981,1976198.0,135411652.21
King of the Mountain,1981,1791147.0,122731717.48
Cutter's Way,1981,1729274.0,118492099.2
Silence of the North,1981,1622898.0,111203077.6
From Mao to Mozart: Isaac Stern in China,1981,1205934.0,82632163.07
Night School,1981,1169875.0,80161353.58
Eyes of a Stranger,1981,1118634.0,76650253.75
Herbie Goes Bananas 1981 Re-release,1981,1000000.0,68521298.07
Herbie Goes to Monte Carlo 1981 Re-release,1981,1000000.0,68521298.07
Sunday Lovers,1981,621931.0,42615519.43
Beyond the Reef,1981,549931.0,37681985.97
Cattle Annie and Little Britches,1981,534816.0,36646286.55
Hard Country,1981,534653.0,36635117.58
Man of Iron,1981,492035.0,33714876.9
Kelly,1981,469777.0,32189729.84
Freaky Friday 1981 Re-release,1981,300000.0,20556389.42
The Sea Wolves,1981,220181.0,15087087.93
Second-Hand Hearts,1981,19450.0,1332739.25
Glen or Glenda 1981 Re-release,1981,10158.0,696039.35
Polyester,1981,2643.0,181101.79
That Obscure Object of Desire,1981,809.0,55433.73
Dissolute Wife,1981,785.0,53789.22
E.T. the Extra-Terrestrial,1982,359197909.0,4370556083.13
Tootsie,1982,177200000.0,2156088659.0
An Officer and a Gentleman,1982,129795554.0,1579293013.36
Rocky III,1982,124146897.0,1510562735.17
Porky's,1982,105492483.0,1283584346.53
Star Trek II: The Wrath of Khan,1982,78912963.0,960176888.11
48 Hrs.,1982,78868508.0,959635979.97
Poltergeist,1982,76606280.0,932110223.0
The Best Little Whorehouse in Texas,1982,69701637.0,848097680.87
Annie,1982,57059003.0,694267885.23
The Verdict,1982,53977250.0,656770522.4
Gandhi,1982,52767889.0,642055570.16
First Blood,1982,47212904.0,574465050.07
The Toy,1982,47118057.0,573310995.1
Firefox,1982,46708276.0,568324967.07
The Dark Crystal,1982,40577001.0,493722413.5
Conan the Barbarian,1982,39565475.0,481414627.17
The Sword and the Sorcerer,1982,39103425.0,475792613.83
Best Friends,1982,36821203.0,448023579.0
Richard Pryor: Live on the Sunset Strip,1982,36299720.0,441678412.06
Friday the 13th: Part 3,1982,34583256.0,420793262.15
Tron,1982,33000787.0,401538502.19
Young Doctors in Love,1982,30688860.0,373408030.49
Sophie's Choice,1982,30036166.0,365466348.04
The World According to Garp,1982,29712172.0,361524137.04
Victor/Victoria,1982,28215453.0,343312743.92
Blade Runner,1982,27593080.0,335739993.54
Airplane II: The Sequel,1982,27150534.0,330355295.95
Fast Times at Ridgemont High,1982,27092880.0,329653788.42
Some Kind of Hero,1982,23671186.0,288020178.78
Mad Max 2: The Road Warrior,1982,23667907.0,287980281.4
Bambi 1982 Re-release,1982,23000000.0,279853494.11
Pink Floyd: The Wall,1982,22244207.0,270657350.12
Raiders of the Lost Ark 1982 Re-release,1982,21437879.0,260846319.33
Things Are Tough All Over,1982,21134374.0,257153409.12
Night Shift,1982,21095638.0,256682087.17
Creepshow,1982,21029383.0,255875926.59
Quest for Fire,1982,20959585.0,255026656.41
The Man from Snowy River,1982,20659423.0,251374422.3
Six Pack,1982,20225989.0,246100595.37
My Favorite Year,1982,20123620.0,244855016.14
The Thing,1982,19858631.0,241630751.03
Deathtrap,1982,19282134.0,234616198.86
Dead Men Don't Wear Plaid,1982,18196170.0,221402684.96
Peter Pan 1982 Re-release,1982,17200000.0,209281743.42
Zapped!,1982,16897768.0,205604322.5
They Call Me Bruce,1982,16894678.0,205566724.79
Death Wish II,1982,16100000.0,195897445.88
Kiss Me Goodbye,1982,15782759.0,192037402.3
Star Wars: Episode IV - A New Hope 1982 Re-release,1982,15476785.0,188314450.43
Grease 2,1982,15171476.0,184599589.98
The Secret of NIMH,1982,14665733.0,178445940.16
Halloween III: Season of the Witch,1982,14400000.0,175212622.4
Diner,1982,14099953.0,171561787.56
The Beastmaster,1982,14056528.0,171033412.0
Missing,1982,14000000.0,170345605.11
Star Wars: Episode V - The Empire Strikes Back 1982 Re-release,1982,13276241.0,161539236.2
Visiting Hours,1982,13258670.0,161325440.3
Vice Squad,1982,13253583.0,161263544.0
Author! Author!,1982,13111101.0,159529888.11
Amityville II: The Possession,1982,12534817.0,152517927.63
Monsignor,1982,12408066.0,150975679.36
Making Love,1982,11897978.0,144769161.57
The Seduction,1982,11378339.0,138446431.58
Das Boot,1982,10916352.0,132825184.79
Silent Rage,1982,10490791.0,127647152.93
Savannah Smiles,1982,10413170.0,126702696.06
Class Reunion,1982,10054150.0,122334304.69
Hanky Panky,1982,9823934.0,119533141.56
Shoot the Moon,1982,9217530.0,112154694.68
A Midsummer Night's Sex Comedy,1982,9077269.0,110448062.9
Trail of the Pink Panther,1982,9056073.0,110190159.65
If You Could See What I Hear,1982,8693512.0,105778683.01
Night Crossing,1982,8000000.0,97340345.78
The Pirate Movie,1982,7983086.0,97134543.95
The Beast Within,1982,7742572.0,94208079.46
Tex,1982,7400000.0,90039819.85
The Missionary,1982,7241180.0,88107370.63
Cat People,1982,7000000.0,85172802.56
I Ought to Be in Pictures,1982,6968359.0,84787809.32
The Amateur,1982,6892098.0,83859900.31
Six Weeks,1982,6668025.0,81133482.4
Forced Vengeance,1982,6660333.0,81039889.65
The Last Unicorn,1982,6457117.0,78567250.19
The Soldier,1982,6328816.0,77006142.23
The Border,1982,6118683.0,74449339.87
Evil Under the Sun,1982,6110000.0,74343689.09
Partners,1982,6062898.0,73770573.47
Still of the Night,1982,5979947.0,72761263.59
The Last American Virgin,1982,5829781.0,70934112.29
Megaforce,1982,5675599.0,69058096.15
Personal Best,1982,5672311.0,69018089.26
Paradise,1982,5588800.0,68001965.56
Cannery Row,1982,5301539.0,64506704.93
Venom,1982,5229643.0,63631907.24
Inchon,1982,5200986.0,63283221.95
Heidi's Song,1982,5124391.0,62351248.98
Tempest,1982,5005245.0,60901534.88
Summer Lovers,1982,4968000.0,60448354.73
Honkytonk Man,1982,4484991.0,54571321.84
Jekyll and Hyde... Together Again,1982,3792188.0,46141611.4
Wrong Is Right,1982,3583513.0,43602549.32
Fighting Back,1982,3355948.0,40833642.34
Penitentiary II,1982,3178542.0,38675047.17
The Challenge,1982,2977706.0,36231366.46
Homework,1982,2914328.0,35460211.9
Jinxed!,1982,2869638.0,34916444.4
It Came from Hollywood,1982,2573342.0,31311250.01
A Stranger Is Watching,1982,2519559.0,30656843.03
A Little Sex,1982,2370376.0,28841652.43
"Yes, Giorgio",1982,2279543.0,27736437.98
Barbarosa,1982,1736123.0,21124351.64
"I, the Jury",1982,1515578.0,18440860.82
Endangered Species,1982,1474249.0,17937988.43
The Sender,1982,1054328.0,12828581.51
Lookin' to Get Out,1982,946461.0,11516105.13
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1982,840958.0,10232392.81
The House Where Evil Dwells,1982,667863.0,8126251.92
One from the Heart,1982,636796.0,7748242.85
The Weavers: Wasn't That a Time,1982,524203.0,6378262.66
Monty Python Live at the Hollywood Bowl,1982,327958.0,3990443.14
I'm Dancing as Fast as I Can,1982,291390.0,3545500.42
Split Image,1982,263635.0,3207790.26
Five Days One Summer,1982,199078.0,2422290.17
The Escape Artist,1982,143369.0,1744448.5
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,78350.0,953327.01
Movie Madness,1982,63405.0,771483.08
White Dog,1982,46509.0,565900.27
Hammett,1982,42914.0,522157.95
"Ladies and Gentlemen, the Fabulous Stains",1982,25728.0,313046.55
Love & Money,1982,14009.0,170455.11
Parasite,1982,2270.0,27620.32
Star Wars: Episode VI - Return of the Jedi,1983,252601637.0,922633163.04
Terms of Endearment,1983,108423489.0,396019233.26
Flashdance,1983,92921203.0,339396784.82
Trading Places,1983,90404800.0,330205566.24
Superman III,1983,80250623.0,293117206.26
WarGames,1983,79567667.0,290622694.1
Octopussy,1983,67917359.0,248069681.99
Sudden Impact,1983,67642693.0,247066458.24
Staying Alive,1983,64892670.0,237021937.35
Mr. Mom,1983,64783827.0,236624385.85
Risky Business,1983,63541777.0,232087770.27
Vacation,1983,61399851.0,224264337.36
The Big Chill,1983,56342711.0,205793019.72
Never Say Never Again,1983,55433185.0,202470955.54
Jaws 3-D,1983,45517055.0,166252067.59
Scarface,1983,45231326.0,165208435.98
Blue Thunder,1983,42313354.0,154550477.6
Yentl,1983,40219251.0,146901719.27
Silkwood,1983,35615609.0,130086813.27
Psycho II,1983,34725000.0,126833843.86
Porky's II: The Next Day,1983,33759266.0,123306478.7
Uncommon Valor,1983,30503151.0,111413445.39
Snow White and the Seven Dwarfs 1983 Re-release,1983,30100000.0,109940927.29
Never Cry Wolf,1983,29600000.0,108114666.04
Twilight Zone: The Movie,1983,29450919.0,107570144.34
Easy Money,1983,29309766.0,107054579.83
High Road to China,1983,28445927.0,103899388.44
The Outsiders,1983,25697647.0,93861233.9
Spring Break,1983,24071666.0,87922301.71
Two of a Kind,1983,23646952.0,86371024.27
My Tutor,1983,22587834.0,82502571.94
Class,1983,21667789.0,79142086.88
The Right Stuff,1983,21192102.0,77404629.41
Cujo,1983,21156152.0,77273321.22
Christine,1983,21018644.0,76771070.16
The Rescuers 1983 Re-release,1983,21000000.0,76702972.53
The Dead Zone,1983,20766616.0,75850532.22
Breathless,1983,19910002.0,72721730.31
A Christmas Story,1983,19294292.0,70472835.68
